所在地,URL,店舗名,住所,電話番号
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26107/21971,京都西大路教室,〒605-0088 京都府京都市南区吉祥院車道町 大西ビル４階,
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26111/21033,ホットヨガスタジオLAVA（ラバ）京都桂店,〒615-8074 京都府京都市西京区桂南巽町80 都証券ビルB1F,0570-00-4515
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26344/21987,【宇治田原教室】子連れヨガ＆マタニティヨガ,〒610-0261 京都府綴喜郡宇治田原町岩山,
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26214/21851,ヨガと顔ヨガ《Chula yoga》,〒619-0222 京都府木津川市相楽川ノ尻87-1 タイヤフィット京都2階,09059024874
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26108/21843,チャイニーズヨガスタジオはるひな,〒616-8341 京都府京都市右京区嵯峨甲塚町 5-39,09021983897
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26104/22021,レムリアンロータス 個人ヨガ＆リラクゼーション,〒604-8141 京都府京都市中京区蛸薬師通東洞院東入る泉正寺町318,09087900358
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26204/22066,Saekoピラティスレッスンスタジオ,〒611-0021 京都府宇治市宇治妙楽,08024162164
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26109/13266,イルチブレインヨガ 伏見スタジオ,〒612-8039 京都府京都市伏見区御香宮門前町198 御香ビル４Ｆ,075-611-8470
京都,https://www.yogaroom.jp/studio/kinki/kyoto/26106/12183,スタジオＤＡＮＣＥＡＬＩＶＥ,〒600-8175 京都府京都市下京区烏丸松原上因幡堂713,075-361-1230
兵庫,https://www.yogaroom.jp/studio/kinki/hyogo/28102/12248,山本ヨガ研究所阪急六甲 「サラシャンテイ」教室,〒657-0051 兵庫県神戸市灘区八幡町3-6-19 クレアール2F,078-802-5120
兵庫,https://www.yogaroom.jp/studio/kinki/hyogo/28110/12247,HOT YOGA STUDIO O(ホットヨガスタジオオー)兵庫・三宮店,〒650-0012 兵庫県神戸市中央区北長狭通り3-2-3 ニューグランドビル６階,078-392-2888
奈良,https://www.yogaroom.jp/studio/kinki/nara/29202/21601,ホットヨガスタジオLAVA（ラバ）トナリエ大和高田店,〒635-0015 奈良県大和高田市幸町3-18 トナリエ大和高田2F,0570-00-4515
福岡,https://www.yogaroom.jp/studio/kyushu/fukuoka/40133/12332,Yoga-rhythm(ヨガ・リズム）,〒810-0023 福岡県福岡市中央区警固2-19-9 2F,092-771-1995
